Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Reliance Industries,Network Engineer,Nashik,2020,B.Tech,Electronics and Communication,2-3 Years,"TCP/IP, Networking, Network Security, Cybersecurity","We are looking for a passionate Network Engineer to join Reliance Industries in Nashik. Candidates should hold a B.Tech (Electronics and Communication) and be skilled in TCP/IP, Networking, Network Security, Cybersecurity. Experience level: 2-3 Years."
MakeMyTrip,Plant Engineer,Gandhinagar,2026,B.Tech,Petrochemical Engineering,1-3 Years,"Quality Control, Six Sigma, Plant Operations","MakeMyTrip is hiring a Plant Engineer for its Gandhinagar office. The role calls for a B.Tech in Petrochemical Engineering and hands-on knowledge of Quality Control, Six Sigma, Plant Operations. Experience required: 1-3 Years."
Fortis Healthcare,Cloud Engineer,Visakhapatnam,2026,MCA,Information Technology,0-1 Years,"Terraform, Ansible, Jenkins","We are looking for a passionate Cloud Engineer to join Fortis Healthcare in Visakhapatnam. Candidates should hold a MCA (Information Technology) and be skilled in Terraform, Ansible, Jenkins. Experience level: 0-1 Years."
Byju's,Structural Engineer,Coimbatore,2016,B.E.,Construction Technology,5-7 Years,"Primavera, Revit, MS Project","Byju's has an opening for a Structural Engineer based in Coimbatore. The ideal candidate is a B.E. graduate in Construction Technology with proficiency in Primavera, Revit, MS Project. Required experience: 5-7 Years."
Uber India,Android Developer,Gurgaon,2018,B.Tech,Software Engineering,0-1 Years,"TypeScript, Docker, REST APIs, MySQL, JavaScript","Join Uber India as a Android Developer in Gurgaon! We need someone with a B.Tech in Software Engineering, strong command of TypeScript, Docker, REST APIs, MySQL, JavaScript, and 0-1 Years of relevant experience."
ABB India,Software Developer,Mysore,2023,B.Tech,Electronics and Communication,1-3 Years,"HTML/CSS, Spring Boot, Java, AWS, Angular","We are looking for a passionate Software Developer to join ABB India in Mysore. Candidates should hold a B.Tech (Electronics and Communication) and be skilled in HTML/CSS, Spring Boot, Java, AWS, Angular. Experience level: 1-3 Years."
Larsen & Toubro Infotech,Network Administrator,Whitefield Bangalore,2018,B.Tech,Information Technology,Fresher,"Windows Server, Network Security, Cybersecurity, Networking","Join Larsen & Toubro Infotech as a Network Administrator in Whitefield Bangalore! We need someone with a B.Tech in Information Technology, strong command of Windows Server, Network Security, Cybersecurity, Networking, and Fresher of relevant experience."
L&T Infotech,HR Manager,Nashik,2026,PGDM,HR Management,0-1 Years,"Employee Engagement, Onboarding, Communication","L&T Infotech is expanding its Nashik team and seeking a HR Manager. A PGDM in HR Management is required along with working knowledge of Employee Engagement, Onboarding, Communication. Experience: 0-1 Years."
Meesho,R&D Engineer,Visakhapatnam,2025,M.Tech,Mechanical Engineering,3-5 Years,"GD&T, Six Sigma, AutoCAD, SolidWorks, Lean Manufacturing","Meesho has an opening for a R&D Engineer based in Visakhapatnam. The ideal candidate is a M.Tech graduate in Mechanical Engineering with proficiency in GD&T, Six Sigma, AutoCAD, SolidWorks, Lean Manufacturing. Required experience: 3-5 Years."
Intel India,HR Manager,Hinjewadi Pune,2023,MBA,Human Resources,1-3 Years,"HR Policies, Communication, Talent Management, Performance Management, HRMS","Intel India has an opening for a HR Manager based in Hinjewadi Pune. The ideal candidate is a MBA graduate in Human Resources with proficiency in HR Policies, Communication, Talent Management, Performance Management, HRMS. Required experience: 1-3 Years."
CRED,Construction Manager,Nashik,2017,B.Tech,Civil Engineering,1-3 Years,"Project Management, AutoCAD, Surveying, STAAD Pro","CRED has an opening for a Construction Manager based in Nashik. The ideal candidate is a B.Tech graduate in Civil Engineering with proficiency in Project Management, AutoCAD, Surveying, STAAD Pro. Required experience: 1-3 Years."
LG Electronics India,Electrical Engineer,Mumbai,2018,B.E.,Instrumentation Engineering,5-7 Years,"Circuit Design, Power Systems, PLC","LG Electronics India is expanding its Mumbai team and seeking a Electrical Engineer. A B.E. in Instrumentation Engineering is required along with working knowledge of Circuit Design, Power Systems, PLC. Experience: 5-7 Years."
Texas Instruments India,HR Manager,Kochi,2023,B.Com,Human Resources,1-3 Years,"Payroll, Performance Management, Employee Engagement","Texas Instruments India has an opening for a HR Manager based in Kochi. The ideal candidate is a B.Com graduate in Human Resources with proficiency in Payroll, Performance Management, Employee Engagement. Required experience: 1-3 Years."
Continental India,Construction Manager,Hyderabad,2018,M.Tech,Civil Engineering,5-7 Years,"Site Supervision, Primavera, Project Management, MS Project, Revit","Continental India has an opening for a Construction Manager based in Hyderabad. The ideal candidate is a M.Tech graduate in Civil Engineering with proficiency in Site Supervision, Primavera, Project Management, MS Project, Revit. Required experience: 5-7 Years."
Punjab National Bank,Finance Analyst,Patna,2022,CMA,Financial Management,2-3 Years,"Budgeting, GST, Financial Modeling","Exciting opportunity for a Finance Analyst at Punjab National Bank (Patna). Applicants must be CMA graduates in Financial Management, comfortable with Budgeting, GST, Financial Modeling, and have 2-3 Years of industry experience."
Bajaj Finserv,Product Owner,Amaravati,2026,MBA,General Management,8-12 Years,"SQL, Market Analysis, JIRA, Stakeholder Management","Bajaj Finserv has an opening for a Product Owner based in Amaravati. The ideal candidate is a MBA graduate in General Management with proficiency in SQL, Market Analysis, JIRA, Stakeholder Management. Required experience: 8-12 Years."
Qualcomm India,Construction Manager,Hyderabad,2022,B.E.,Civil Engineering,4-6 Years,"Estimation & Costing, Surveying, Revit, Project Management, MS Project","Join Qualcomm India as a Construction Manager in Hyderabad! We need someone with a B.E. in Civil Engineering, strong command of Estimation & Costing, Surveying, Revit, Project Management, MS Project, and 4-6 Years of relevant experience."
Asian Paints,Visual Designer,Chandigarh,2025,MBA,Design,Fresher,"Sketch, Prototyping, Adobe Photoshop, SEO Writing, Illustrator","Asian Paints is hiring a Visual Designer for its Chandigarh office. The role calls for a MBA in Design and hands-on knowledge of Sketch, Prototyping, Adobe Photoshop, SEO Writing, Illustrator. Experience required: Fresher."
Zepto,Accountant,Surat,2019,CA,Financial Management,0-2 Years,"Accounting Standards, Excel, Tally","Zepto is hiring a Accountant for its Surat office. The role calls for a CA in Financial Management and hands-on knowledge of Accounting Standards, Excel, Tally. Experience required: 0-2 Years."
Sutherland Global,Credit Analyst,Lucknow,2025,CMA,Financial Management,10+ Years,"GST, Taxation, Financial Reporting, Auditing, SAP","Sutherland Global is expanding its Lucknow team and seeking a Credit Analyst. A CMA in Financial Management is required along with working knowledge of GST, Taxation, Financial Reporting, Auditing, SAP. Experience: 10+ Years."
Mahindra & Mahindra,Cloud Architect,Bhubaneswar,2023,M.Tech,Computer Science,2-3 Years,"Jenkins, Linux, AWS, Kubernetes, CI/CD","Mahindra & Mahindra is expanding its Bhubaneswar team and seeking a Cloud Architect. A M.Tech in Computer Science is required along with working knowledge of Jenkins, Linux, AWS, Kubernetes, CI/CD. Experience: 2-3 Years."
Lenskart,Process Engineer,Jaipur,2022,B.E.,Petrochemical Engineering,5-7 Years,"Process Design, Aspen Plus, Plant Operations, Safety Management, Quality Control","We are looking for a passionate Process Engineer to join Lenskart in Jaipur. Candidates should hold a B.E. (Petrochemical Engineering) and be skilled in Process Design, Aspen Plus, Plant Operations, Safety Management, Quality Control. Experience level: 5-7 Years."
Flipkart,HR Executive,Remote,2021,B.Com,Human Resources,1-3 Years,"Onboarding, HR Policies, Employee Engagement","Exciting opportunity for a HR Executive at Flipkart (Remote). Applicants must be B.Com graduates in Human Resources, comfortable with Onboarding, HR Policies, Employee Engagement, and have 1-3 Years of industry experience."
Nykaa,Talent Acquisition Specialist,Amaravati,2016,PGDM,General Management,0-2 Years,"Onboarding, Recruitment, Payroll, Talent Management","Nykaa is expanding its Amaravati team and seeking a Talent Acquisition Specialist. A PGDM in General Management is required along with working knowledge of Onboarding, Recruitment, Payroll, Talent Management. Experience: 0-2 Years."
Future Group,Operations Executive,Vijayawada,2019,BBA,Arts,Fresher,"Email Etiquette, MS Office, Customer Service","Future Group has an opening for a Operations Executive based in Vijayawada. The ideal candidate is a BBA graduate in Arts with proficiency in Email Etiquette, MS Office, Customer Service. Required experience: Fresher."
Mahindra & Mahindra,Computer Vision Engineer,Nagpur,2023,M.Tech,Information Technology,3-5 Years,"Python, Tableau, PyTorch, Big Data, SQL","Exciting opportunity for a Computer Vision Engineer at Mahindra & Mahindra (Nagpur). Applicants must be M.Tech graduates in Information Technology, comfortable with Python, Tableau, PyTorch, Big Data, SQL, and have 3-5 Years of industry experience."
PharmEasy,Content Writer,Gurgaon,2018,B.A.,General,5-8 Years,"Illustrator, Figma, Adobe XD, Content Writing, SEO Writing","Exciting opportunity for a Content Writer at PharmEasy (Gurgaon). Applicants must be B.A. graduates in General, comfortable with Illustrator, Figma, Adobe XD, Content Writing, SEO Writing, and have 5-8 Years of industry experience."
Naukri.com,Cloud Engineer,Hyderabad,2018,MCA,Computer Science,7-10 Years,"GCP, Terraform, Docker, Ansible","We are looking for a passionate Cloud Engineer to join Naukri.com in Hyderabad. Candidates should hold a MCA (Computer Science) and be skilled in GCP, Terraform, Docker, Ansible. Experience level: 7-10 Years."
Cipla,Operations Executive,Chandigarh,2023,B.A.,General,2-4 Years,"Email Etiquette, Communication, Customer Service, MS Office, Problem Solving","Cipla is hiring a Operations Executive for its Chandigarh office. The role calls for a B.A. in General and hands-on knowledge of Email Etiquette, Communication, Customer Service, MS Office, Problem Solving. Experience required: 2-4 Years."
Max Healthcare,Cybersecurity Analyst,Visakhapatnam,2021,BCA,Computer Science,8-12 Years,"VPN, Network Security, TCP/IP, CCNA, Networking","Join Max Healthcare as a Cybersecurity Analyst in Visakhapatnam! We need someone with a BCA in Computer Science, strong command of VPN, Network Security, TCP/IP, CCNA, Networking, and 8-12 Years of relevant experience."
Firstsource Solutions,Civil Engineer,Indore,2024,B.Tech,Structural Engineering,0-1 Years,"STAAD Pro, AutoCAD, Project Management, Revit","Firstsource Solutions is expanding its Indore team and seeking a Civil Engineer. A B.Tech in Structural Engineering is required along with working knowledge of STAAD Pro, AutoCAD, Project Management, Revit. Experience: 0-1 Years."
Indian Oil Corporation,Team Lead - Operations,Chennai,2026,B.Com,Arts,0-2 Years,"Communication, Email Etiquette, MS Office, Time Management","Indian Oil Corporation is hiring a Team Lead - Operations for its Chennai office. The role calls for a B.Com in Arts and hands-on knowledge of Communication, Email Etiquette, MS Office, Time Management. Experience required: 0-2 Years."
Voltas,iOS Developer,Multiple Locations,2024,M.Tech,Computer Science,7-10 Years,"AWS, Node.js, HTML/CSS","Join Voltas as a iOS Developer in Multiple Locations! We need someone with a M.Tech in Computer Science, strong command of AWS, Node.js, HTML/CSS, and 7-10 Years of relevant experience."
EY India,Plant Engineer,Ahmedabad,2024,B.E.,Chemical Engineering,2-3 Years,"Aspen Plus, Safety Management, Quality Control","Exciting opportunity for a Plant Engineer at EY India (Ahmedabad). Applicants must be B.E. graduates in Chemical Engineering, comfortable with Aspen Plus, Safety Management, Quality Control, and have 2-3 Years of industry experience."
NTPC Limited,Learning & Development Executive,Mumbai,2023,PGDM,General Management,2-4 Years,"HRMS, Employee Engagement, Talent Management, Onboarding","NTPC Limited is expanding its Mumbai team and seeking a Learning & Development Executive. A PGDM in General Management is required along with working knowledge of HRMS, Employee Engagement, Talent Management, Onboarding. Experience: 2-4 Years."
Adani Group,Structural Engineer,Lucknow,2026,B.E.,Construction Technology,0-1 Years,"AutoCAD, Surveying, Project Management, Primavera, Site Supervision","Adani Group is expanding its Lucknow team and seeking a Structural Engineer. A B.E. in Construction Technology is required along with working knowledge of AutoCAD, Surveying, Project Management, Primavera, Site Supervision. Experience: 0-1 Years."
Swiggy Instamart,Product Manager,Gurgaon,2016,MBA,General Management,0-1 Years,"JIRA, Stakeholder Management, Market Analysis","Join Swiggy Instamart as a Product Manager in Gurgaon! We need someone with a MBA in General Management, strong command of JIRA, Stakeholder Management, Market Analysis, and 0-1 Years of relevant experience."
Hexaware Technologies,iOS Developer,Multiple Locations,2024,M.Tech,Electronics and Communication,2-3 Years,"AWS, TypeScript, Python, Spring Boot, Kubernetes","We are looking for a passionate iOS Developer to join Hexaware Technologies in Multiple Locations. Candidates should hold a M.Tech (Electronics and Communication) and be skilled in AWS, TypeScript, Python, Spring Boot, Kubernetes. Experience level: 2-3 Years."
